DateTime,M_ID,Comp_ID
1/5/2015 6:00:00 AM,1,C04
3/6/2015 6:00:00 AM,1,C01
4/20/2015 6:00:00 AM,1,C02
6/19/2015 6:00:00 AM,1,C04
9/2/2015 6:00:00 AM,1,C04
10/17/2015 6:00:00 AM,1,C02
12/16/2015 6:00:00 AM,1,C04
3/19/2015 6:00:00 AM,2,C01
3/19/2015 6:00:00 AM,2,C02
4/18/2015 6:00:00 AM,2,C02
12/29/2015 6:00:00 AM,2,C02
1/7/2015 6:00:00 AM,3,C02
2/6/2015 6:00:00 AM,3,C01
7/21/2015 6:00:00 AM,3,C02
10/4/2015 6:00:00 AM,3,C02
12/3/2015 6:00:00 AM,3,C02
1/17/2015 6:00:00 AM,4,C02
2/16/2015 6:00:00 AM,4,C01
4/2/2015 6:00:00 AM,4,C02
7/16/2015 6:00:00 AM,4,C02
8/30/2015 6:00:00 AM,4,C01
10/14/2015 6:00:00 AM,4,C02
1/9/2015 6:00:00 AM,5,C02
2/23/2015 6:00:00 AM,5,C01
4/9/2015 6:00:00 AM,5,C01
6/23/2015 6:00:00 AM,5,C02
9/6/2015 6:00:00 AM,5,C01
10/6/2015 6:00:00 AM,5,C02
11/20/2015 6:00:00 AM,5,C01
1/24/2015 6:00:00 AM,7,C02
1/24/2015 6:00:00 AM,7,C04
2/8/2015 6:00:00 AM,7,C01
4/24/2015 6:00:00 AM,7,C01
5/9/2015 6:00:00 AM,7,C04
5/24/2015 6:00:00 AM,7,C02
7/8/2015 6:00:00 AM,7,C02
9/21/2015 6:00:00 AM,7,C04
10/21/2015 6:00:00 AM,7,C02
12/20/2015 6:00:00 AM,7,C01
3/7/2015 6:00:00 AM,8,C02
3/22/2015 6:00:00 AM,8,C04
4/21/2015 6:00:00 AM,8,C02
8/4/2015 6:00:00 AM,8,C04
10/18/2015 6:00:00 AM,8,C04
3/4/2015 6:00:00 AM,9,C01
6/17/2015 6:00:00 AM,9,C02
7/2/2015 6:00:00 AM,9,C01
7/17/2015 6:00:00 AM,9,C02
8/31/2015 6:00:00 AM,9,C02
9/15/2015 6:00:00 AM,9,C01
10/15/2015 6:00:00 AM,9,C02
11/14/2015 6:00:00 AM,9,C01
12/14/2015 6:00:00 AM,9,C02
1/19/2015 6:00:00 AM,10,C02
4/4/2015 6:00:00 AM,10,C02
5/19/2015 6:00:00 AM,10,C02
6/3/2015 6:00:00 AM,10,C01
6/18/2015 6:00:00 AM,10,C02
1/20/2015 6:00:00 AM,11,C02
2/19/2015 6:00:00 AM,11,C03
4/20/2015 6:00:00 AM,11,C02
4/20/2015 6:00:00 AM,11,C03
10/2/2015 6:00:00 AM,11,C03
12/16/2015 6:00:00 AM,11,C03
1/7/2015 6:00:00 AM,12,C01
1/7/2015 6:00:00 AM,12,C02
3/23/2015 6:00:00 AM,12,C02
7/6/2015 6:00:00 AM,12,C01
9/4/2015 6:00:00 AM,12,C01
10/4/2015 6:00:00 AM,12,C02
4/11/2015 6:00:00 AM,13,C03
4/11/2015 6:00:00 AM,13,C04
6/10/2015 6:00:00 AM,13,C03
6/25/2015 6:00:00 AM,13,C04
7/10/2015 6:00:00 AM,13,C02
8/9/2015 6:00:00 AM,13,C02
8/24/2015 6:00:00 AM,13,C01
8/24/2015 6:00:00 AM,13,C03
9/23/2015 6:00:00 AM,13,C04
10/23/2015 6:00:00 AM,13,C01
12/7/2015 6:00:00 AM,13,C04
12/22/2015 6:00:00 AM,13,C01
12/22/2015 6:00:00 AM,13,C02
1/31/2015 6:00:00 AM,14,C02
3/2/2015 6:00:00 AM,14,C01
7/15/2015 6:00:00 AM,14,C01
7/30/2015 6:00:00 AM,14,C02
1/20/2015 6:00:00 AM,15,C02
1/20/2015 6:00:00 AM,15,C04
6/4/2015 6:00:00 AM,15,C01
8/3/2015 6:00:00 AM,15,C01
11/1/2015 6:00:00 AM,15,C02
11/1/2015 6:00:00 AM,15,C04
12/31/2015 6:00:00 AM,15,C04
1/2/2015 3:00:00 AM,16,C01
1/2/2015 3:00:00 AM,16,C03
1/17/2015 6:00:00 AM,16,C01
3/3/2015 6:00:00 AM,16,C03
4/2/2015 6:00:00 AM,16,C01
5/17/2015 6:00:00 AM,16,C03
6/1/2015 6:00:00 AM,16,C02
6/16/2015 6:00:00 AM,16,C01
7/1/2015 6:00:00 AM,16,C02
7/1/2015 6:00:00 AM,16,C03
8/15/2015 6:00:00 AM,16,C03
10/14/2015 6:00:00 AM,16,C03
11/28/2015 6:00:00 AM,16,C02
1/2/2015 3:00:00 AM,17,C04
1/16/2015 6:00:00 AM,17,C03
2/15/2015 6:00:00 AM,17,C02
3/17/2015 6:00:00 AM,17,C03
4/1/2015 6:00:00 AM,17,C02
4/1/2015 6:00:00 AM,17,C04
5/16/2015 6:00:00 AM,17,C01
6/15/2015 6:00:00 AM,17,C03
7/15/2015 6:00:00 AM,17,C02
7/30/2015 6:00:00 AM,17,C01
8/29/2015 6:00:00 AM,17,C04
10/28/2015 6:00:00 AM,17,C03
10/28/2015 6:00:00 AM,17,C04
11/27/2015 6:00:00 AM,17,C02
12/27/2015 6:00:00 AM,17,C01
1/30/2015 6:00:00 AM,18,C04
3/31/2015 6:00:00 AM,18,C01
5/15/2015 6:00:00 AM,18,C04
6/29/2015 6:00:00 AM,18,C02
7/29/2015 6:00:00 AM,18,C02
8/28/2015 6:00:00 AM,18,C04
9/12/2015 6:00:00 AM,18,C02
10/27/2015 6:00:00 AM,18,C04
1/13/2015 6:00:00 AM,19,C01
2/27/2015 6:00:00 AM,19,C04
4/13/2015 6:00:00 AM,19,C04
6/27/2015 6:00:00 AM,19,C04
9/10/2015 6:00:00 AM,19,C04
11/24/2015 6:00:00 AM,19,C04
12/9/2015 6:00:00 AM,19,C01
1/4/2015 6:00:00 AM,20,C02
1/19/2015 6:00:00 AM,20,C04
2/3/2015 6:00:00 AM,20,C03
3/20/2015 6:00:00 AM,20,C02
4/4/2015 6:00:00 AM,20,C03
4/19/2015 6:00:00 AM,20,C04
7/18/2015 6:00:00 AM,20,C01
8/17/2015 6:00:00 AM,20,C04
